,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,location,phone,display_phone,distance,latitude,longitude,city,state,postal
0,dhh34rRlTtGuFRDj1zgZWQ,old-mexico-ithaca,Old Mexico,https://s3-media1.fl.yelpcdn.com/bphoto/Me8QmXzwiyeSQ7aALF72Ow/o.jpg,False,https://www.yelp.com/biz/old-mexico-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,123,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,['delivery'],$$,"{'address1': '357 Elmira Rd', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['357 Elmira Rd', 'Ithaca, NY 14850']}",+16073796178,(607) 379-6178,1652.3738254672983,42.42292,-76.51542,Ithaca,NY,14850
1,VipfYExJjVsD31KnUZqHJg,viva-taqueria-ithaca,Viva Taqueria,https://s3-media2.fl.yelpcdn.com/bphoto/J4Fr3q6oKTYldz_rmMHXvw/o.jpg,False,https://www.yelp.com/biz/viva-taqueria-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,381,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,['delivery'],$$,"{'address1': '101 N Aurora St', 'address2': None, 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['101 N Aurora St', 'Ithaca, NY 14850']}",+16072771752,(607) 277-1752,3892.1113657381534,42.439739331865,-76.495476743814,Ithaca,NY,14850
2,dOSIUeoARyeKvD3qZfFN9g,bickering-twins-ithaca-2,Bickering Twins,https://s3-media2.fl.yelpcdn.com/bphoto/M27AsYyZQBHCnCdmG9oojw/o.jpg,False,https://www.yelp.com/biz/bickering-twins-ithaca-2?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,104,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,['delivery'],$$,"{'address1': '114 N Cayuga St', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['114 N Cayuga St', 'Ithaca, NY 14850']}",+16073190653,(607) 319-0653,3788.040466433069,42.4398597,-76.4990866344684,Ithaca,NY,14850
3,h0nPGPVrqZHCrrauTrywrA,mix-kitchen-and-bar-ithaca-11,MIX Kitchen & Bar,https://s3-media4.fl.yelpcdn.com/bphoto/LVkDgxxE7b-Dh6bEao8rPQ/o.jpg,False,https://www.yelp.com/biz/mix-kitchen-and-bar-ithaca-11?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,302,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,['delivery'],$$,"{'address1': '205 Elmira Rd', 'address2': None, 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['205 Elmira Rd', 'Ithaca, NY 14850']}",+16073194248,(607) 319-4248,2677.87328115426,42.4303125,-76.5031673,Ithaca,NY,14850
4,cr34k4MbHUKHMeDgCm1jtg,dos-amigos-ithaca,Dos Amigos,https://s3-media2.fl.yelpcdn.com/bphoto/S0N2n7NMSJa8kOUOLZeJaQ/o.jpg,False,https://www.yelp.com/biz/dos-amigos-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,10,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]",4.0,['delivery'],,"{'address1': '403 College Ave', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['403 College Ave', 'Ithaca, NY 14850']}",+16073795086,(607) 379-5086,4515.747582085316,42.441825,-76.4850774,Ithaca,NY,14850
5,5HZ4FHPawNxmpH8g-mk5qw,luna-inspired-street-food-ithaca-7,Luna Inspired Street Food,https://s3-media3.fl.yelpcdn.com/bphoto/ci7G94QTnFNAaXJVbaUn7Q/o.jpg,False,https://www.yelp.com/biz/luna-inspired-street-food-ithaca-7?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,147,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.0,"['delivery', 'pickup']",$$,"{'address1': '113 N Aurora St', 'address2': None, 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['113 N Aurora St', 'Ithaca, NY 14850']}",+16072696139,(607) 269-6139,3931.1713365527817,42.44008,-76.49549,Ithaca,NY,14850
6,0ouRW6X9JIzOdE-c5NEpsg,agava-ithaca-2,Agava,https://s3-media4.fl.yelpcdn.com/bphoto/ERjMFVdU40vY_-D3STSrSA/o.jpg,False,https://www.yelp.com/biz/agava-ithaca-2?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,371,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,['delivery'],$$,"{'address1': '381 Pine Tree Rd', 'address2': None, 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['381 Pine Tree Rd', 'Ithaca, NY 14850']}",+16073194366,(607) 319-4366,5357.149228779217,42.4383125305176,-76.4648132324219,Ithaca,NY,14850
7,hn8KBBBUMSulh1A89MpCiw,moosewood-restaurant-ithaca-4,Moosewood Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/FtiuefxG8h2QEiEfYkpzHQ/o.jpg,False,https://www.yelp.com/biz/moosewood-restaurant-ithaca-4?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,463,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,['delivery'],$$,"{'address1': '215 N Cayuga St', 'address2': '', 'address3': None, 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['215 N Cayuga St', 'Ithaca, NY 14850']}",+16072739610,(607) 273-9610,3871.213061295473,42.4405218670503,-76.4985966682434,Ithaca,NY,14850
8,-bthv4Eseb4_cn871uHqLg,circus-truck-ithaca,Circus Truck,https://s3-media3.fl.yelpcdn.com/bphoto/nJ5yw20N2Qz2ceMQbFyJ_Q/o.jpg,False,https://www.yelp.com/biz/circus-truck-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,36,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,[],$,"{'address1': '720 W Green St', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['720 W Green St', 'Ithaca, NY 14850']}",+16072295198,(607) 229-5198,3432.1978861503267,42.4385796,-76.5094986,Ithaca,NY,14850
9,LnJ6x6oVib3AHRbg38ZzKw,moes-southwest-grill-ithaca,Moe's Southwest Grill,https://s3-media1.fl.yelpcdn.com/bphoto/k5JpSqq_FXAmAicvP0LHhw/o.jpg,False,https://www.yelp.com/biz/moes-southwest-grill-ithaca?adjust_creative=By4LztDH6ULQMoOWW73Uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=By4LztDH6ULQMoOWW73Uag,42,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'mexican', 'title': 'Mexican'}]",3.0,['delivery'],$,"{'address1': '324 Elmira Rd', 'address2': '', 'address3': '', 'city': 'Ithaca', 'zip_code': '14850', 'country': 'US', 'state': 'NY', 'display_address': ['324 Elmira Rd', 'Ithaca, NY 14850']}",+16072776637,(607) 277-6637,2058.378849030887,42.426378006492236,-76.51200049540526,Ithaca,NY,14850
